btc,etc,xpr,ltc,eth
8728.00 ,7.51 ,0.23660 ,59.907 ,226.850 
8825.80 ,7.73 ,0.23800 ,61.736 ,227.750 
8813.20 ,7.67 ,0.22890 ,60.646 ,224.030 
9327.53 ,9.17 ,0.25230 ,71.105 ,247.000 
9674.10 ,9.36 ,0.27050 ,75.558 ,265.510 
9985.00 ,9.75 ,0.28320 ,79.499 ,274.950 
9662.40 ,9.45 ,0.27480 ,74.850 ,261.630 
9693.46 ,9.42 ,0.27410 ,73.233 ,265.080 
9608.10 ,8.88 ,0.27120 ,69.431 ,257.400 
9592.20 ,8.83 ,0.27510 ,70.815 ,259.700 
10183.00 ,9.85 ,0.29790 ,77.099 ,282.330 
9708.00 ,9.64 ,0.28700 ,73.436 ,267.500 
9929.70 ,9.62 ,0.29300 ,74.757 ,259.550 
9901.00 ,10.49 ,0.30750 ,76.832 ,264.850 
10335.00 ,11.99 ,0.33580 ,83.044 ,285.550 
10222.00 ,12.02 ,0.32720 ,80.575 ,268.410 
10339.00 ,12.18 ,0.30440 ,81.189 ,265.480 
10247.00 ,11.97 ,0.28090 ,76.469 ,236.670 
9850.20 ,11.80 ,0.27340 ,74.121 ,222.900 
10151.00 ,11.65 ,0.28250 ,77.021 ,228.610 
9877.20 ,11.70 ,0.27760 ,76.578 ,223.150 
9805.20 ,11.72 ,0.27960 ,74.383 ,223.390 
9744.90 ,12.13 ,0.28350 ,73.597 ,213.240 
9612.00 ,12.37 ,0.27770 ,72.544 ,203.870 
9197.40 ,11.43 ,0.26730 ,67.976 ,188.890 
9309.30 ,11.78 ,0.25450 ,69.743 ,189.920 
9353.10 ,11.38 ,0.25100 ,70.000 ,188.470 
9410.60 ,11.53 ,0.24140 ,70.752 ,183.620 
9367.40 ,11.30 ,0.23950 ,68.015 ,179.900 
9512.70 ,12.29 ,0.24370 ,67.946 ,184.580 
9304.20 ,12.23 ,0.23530 ,59.795 ,173.790 
9393.70 ,11.39 ,0.23910 ,60.567 ,175.710 
8912.00 ,10.40 ,0.23090 ,58.549 ,170.110 
8621.60 ,9.19 ,0.23120 ,56.256 ,167.880 
